bibliographical.reference,coder,nrow,doi,nb.found,author1,year,journal,pub.type,data.site,stimuli.site,exp.condition,native.language,infant.type,min.age.days,mean.age.days,mean.age.Notes,max.age.days,nb.included,nb.excluded.total,fussers,non.criterion,exclusion.Criteria,same.infant.no,same.infant,nativeness,contrast_pseudoIPA,contrast_sampa,sampa_comments,counterbalanced,backness,height,nasality,roundness,tenseness,length,stimuli.notes,F1.1,F2.1,F1.2,F2.2,duration.word.1,duration.word.2,duration.vowel.1,duration.vowel.2,frequency.1,frequency.2,frequency.source,method,design,method.notes,results.extra,t,F,df,HAS.experimental,HAS.experimental.SD,HAS.control.nb,HAS.control,HAS.control.SD,CF.corr.same.switch,CF.difference,CF.same.SD,CF.switch.SD,CHT.pc,CHT.pc.SD,CHT.dprime,CHT.dprime.SD,CHT.Aprime,CHT.Aprime.SD,NIRS.DIFF,NIRS.DIFF.SD,NIRS.LI,NIRS.LI.SD,ERP.MMR.peakamplitude,ERP.MMR.peakamplitude.SD,MSDapprox,notes,specdif,tdif.count,tdif.dir,dur,featdif,attrition,fodif.count,fodif.dir,EffectSize,Formulas.used,ES.SE,ES.w,ES.type,CF.pooled,HAS.pooled
"Cowan, N., Suomi, K. & Morse, P. A. (1982). Echoic storage in infant perception. Child Development, 53(4), 984-990",ac,16,10.2307/1129138 ,8,Cowan,1982,Child Development,article,NA,NA,exp3,English,standard,56,60,midrange,63,10,10.66666667,NA,NA,"fussiness, sleeping",16,no,native,[a-a] to [a-ε] OR [ε-ε] to [ε-a] versus control: [a-a] to [ε-a] OR [ε-ε] to [a-ε],[a-a] to [a-E] OR [E-E] to [E-a] versus control: [a-a] to [E-a] OR [E-E] to [a-E],rather /a/ F1 750 F2 1150,0,NA,NA,NA,NA,NA,NA,"comments_F: NA; F1/F2/F3.1: a 750/1150/2400 E 245/2250/3000; F1/F2/F3.2: NA; min.f0: 200; average.f0: NA; max.f0: 40; range.f0: NA; pitch.contour: falling; other: Notice that they presented pairs of vowels; synthetic, 50 ms long, 250ms within pair, 900ms between pair, amplitude ramped 10ms onset and offset, f0 fell linearly from 200 to 40 hz across 50 ms; voice: NA; IDS: no; naturalness: synthetic; ISI: 700; SOA: NA; ambient.noise: 45; snr: 22; differ.in: diphthonguization",750,1150,NA,NA,50,50,50,50,NA,NA,NA,HAS,between,fam.length:NA;habituation.criterion:NA;proportion.same.change:NA;max.trial.duration:NA;nb.tokens.trial:NA;visual.stim:NA;size.in:NA;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:NA;CF.window.size:NA;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:NA;CF.ntest:NA;CF.testDetails:NA;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;,proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,2.27,NA,34,NA,NA,10,-2.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,sucks per 30s;not coding ES because too different from others - REVISIT.,NA,NA,1,50,NA,0.5161290323,NA,NA,0.9722801493,"L&W Table B10 (2), then unbiased ES from 3.22, 3.23 for SE, 3.24 for weight",0.4728987389,4.471607628,2,NA,NA
"Mugitani, R., Pons, F., Fais, L., Dietrich, C., Werker, J. F., & Amano, S. (2009). Perception of vowel length by Japanese- and English-learning infants. Developmental psychology, 45(1), 236?47. ",ac,23,10.1037/a0014043 ,9,Mugitani,2009,Developmental Psychology,article,NA,NA,exp4,Japanese,standard,283.78,301.78,mean,319.2,8,4.5,2.5,2,"fussiness, criterion",23,no,native,ta:ku-taku,ta:ku-taku,not_looked_up,0,0,0,0,0,0,1,"comments_F: several tokens recorded, 5 were selected and then manipulated to create a long (200 ms) and short (100 ms) vowel duration; the duration of the whole words was not reported; F1/F2/F3.1: NA; F1/F2/F3.2: NA; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: the originals were spoken in Japanese, then the vowel lengthened/reduced to the desired length; voice: female; IDS: yes; naturalness: natural_processed; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 65; differ.in: ",NA,NA,NA,NA,NA,NA,100,200,NA,NA,NA,CF-HAB,within,"fam.length:NA;habituation.criterion:35;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:red & black checkerboard;size.in:27;dist.from.child.in:46;side.degrees:NA;CF.longest.first:longest;CF.window.size:3;CF.min.hab:9;CF.max.hab:27;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:1 same 1 oddball, with order counterbalanced across kids;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: 0.5; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68,1.81019336,4.723473298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,author_provided,NA,NA,0.5,150,1,0.36,NA,NA,0.7083897605,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",NA,NA,2,3.57687014,NA
"Mugitani, R., Pons, F., Fais, L., Dietrich, C., Werker, J. F., & Amano, S. (2009). Perception of vowel length by Japanese- and English-learning infants. Developmental psychology, 45(1), 236?47. ",ac,24,10.1037/a0014043 ,9,Mugitani,2009,Developmental Psychology,article,NA,NA,exp4,Japanese,standard,283.78,301.78,mean,319.2,8,4.5,2.5,2,"fussiness, criterion",24,no,native,taku-ta:ku,taku-ta:ku,not_looked_up,0,0,0,0,0,0,1,"comments_F: several tokens recorded, 5 were selected and then manipulated to create a long (200 ms) and short (100 ms) vowel duration; the duration of the whole words was not reported; F1/F2/F3.1: NA; F1/F2/F3.2: NA; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: the originals were spoken in Japanese, then the vowel lengthened/reduced to the desired length; voice: female; IDS: yes; naturalness: natural_processed; ISI: 1000; SOA: NA; ambient.noise: NA; snr: 65; differ.in: ",NA,NA,NA,NA,NA,NA,100,200,NA,NA,NA,CF-HAB,within,"fam.length:NA;habituation.criterion:35;proportion.same.change:0.5;max.trial.duration:14000;nb.tokens.trial:5;visual.stim:red & black checkerboard;size.in:27;dist.from.child.in:46;side.degrees:NA;CF.longest.first:longest;CF.window.size:3;CF.min.hab:9;CF.max.hab:27;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:1 same 1 oddball, with order counterbalanced across kids;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: 0.75; partial.eta.squared: NA; d: NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.234457429,2.630437226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,author_provided,NA,NA,0.5,150,1,0.36,NA,NA,0.7748065888,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",NA,NA,2,2.440491754,NA
"Phan, J., & Houston, D. M. (2008).Infant Dialect Discrimination. RESEARCH ON SPOKEN LANGUAGE PROCESSING Progress Report No. 29",ac,25,NA,10,Phan,2008,RESEARCH ON SPOKEN LANGUAGE PROCESSING Progress Report,collection,NA,NA,exp1,English,standard,183.1284,205.6392,mean,236.0592,20,NA,NA,NA,NA,25,no,unusual,pain-pa:n[southern]_,pain-pa:n[southern]_,not_looked_up,1,0,2,0,0,0,0,comments_F: F's to the right are averages over 2 tokens and represent values at one third and two thirds of the vowel; first dur is pa:n[southern]; second dur is pain ; F1/F2/F3.1: pa:n[southern] 989-921/1707-1752; F1/F2/F3.2: pain 719-607/1617-2069; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: single talker produced words in both dialects; F's to the right are averages over 2 tokens and represent values at one third and two thirds of the vowel; voice: female; IDS: yes; naturalness: natural; ISI: NA; SOA: NA; ambient.noise: NA; snr: NA; differ.in: ,989,1707,719,1617,689,698.5,364,342.5,NA,NA,NA,CF-HAB,within,"fam.length:NA;habituation.criterion:50;proportion.same.change:0.285714285714286;max.trial.duration:20000;nb.tokens.trial:1;visual.stim:checkerboard;size.in:55;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:first;CF.window.size:3;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:same-switch;CF.ntest:14;CF.testDetails:10 \""same\"" which contained repetitions of the habituation token mixed in with another token of the same type; and 4 oddballs/switch trials which contained the habituation token interspersed with a token of the untrained type; the first 2 trials were always 1 same 1 oddball with order counterbalanced across kids;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,2.19,NA,19,NA,NA,NA,NA,NA,NA,0.92,1.38,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,;,1.831682355,1.062773723,NA,353.25,2,NA,NA,NA,0.4942592875,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",NA,NA,2,1.824390309,NA
"Phan, J., & Houston, D. M. (2008).Infant Dialect Discrimination. RESEARCH ON SPOKEN LANGUAGE PROCESSING Progress Report No. 29",ac,26,NA,10,Phan,2008,RESEARCH ON SPOKEN LANGUAGE PROCESSING Progress Report,collection,NA,NA,exp1,English,standard,317.2806,341.0082,mean,364.1274,20,NA,NA,NA,NA,26,no,unusual,pain-pa:n[southern]_,paIn-pa:n[southern]_,not_looked_up,1,0,2,0,0,0,0,"comments_F: F's to the right are averages over 2 tokens and represent values at one third and two thirds of the vowel; F1/F2/F3.1: pa:n[southern] 989-921/1707-1752; F1/F2/F3.2: pain 719-607/1617-2069; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: single talker produced words in both dialects; F's not reported, but the change in F2 within each vowel was: F2 movement was (410+494)/2 for the northern midland pain, and (45+45)/2 for the southern pa:n; voice: female; IDS: yes; naturalness: natural; ISI: NA; SOA: NA; ambient.noise: NA; snr: NA; differ.in: ",989,1707,719,1617,689,698.5,364,342.5,NA,NA,NA,CF-HAB,within,"fam.length:NA;habituation.criterion:50;proportion.same.change:0.285714285714286;max.trial.duration:20000;nb.tokens.trial:1;visual.stim:checkerboard;size.in:55;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:first;CF.window.size:3;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:same-switch;CF.ntest:14;CF.testDetails:10 \""same\"" which contained repetitions of the habituation token mixed in with another token of the same type; and 4 oddballs/switch trials which contained the habituation token interspersed with a token of the untrained type; the first 2 trials were always 1 same 1 oddball with order counterbalanced across kids;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,-0.08,NA,19,NA,NA,NA,NA,NA,NA,-0.05,1.75,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,;,1.831682355,1.062773723,NA,353.25,2,NA,NA,NA,-0.02398068189,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",NA,NA,2,2.043587532,NA
"Phan, J., & Houston, D. M. (2008).Infant Dialect Discrimination. RESEARCH ON SPOKEN LANGUAGE PROCESSING Progress Report No. 29",ac,30,NA,10,Phan,2008,RESEARCH ON SPOKEN LANGUAGE PROCESSING Progress Report,collection,NA,NA,exp3,English,standard,303.2874,334.62,mean,359.2602,30,NA,NA,NA,NA,30,no,unusual,pa:n[southern]-pa:n_,pa:n[southern]-pa:n_,pine (Southern) vs. pawn,1,0,0,0,0,0,0,"comments_F: F's to the right are averages over 2 tokens and represent values at one third and two thirds of the vowel; first dur is pa:n[southern] second is pa:n; F1/F2/F3.1: pa:n[southern] 989-921/1707-1752; F1/F2/F3.2: pa:n 966-921/1438-1461; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: single talker produced words in both dialects; F's not reported, but the change in F2 within each vowel was: F2 movement was (410+494)/2 for the northern midland pain, and (45+45)/2 for the southern pa:n; voice: female; IDS: yes; naturalness: natural; ISI: NA; SOA: NA; ambient.noise: NA; snr: NA; differ.in: ",989,1707,966,1438,689,784,364,356,NA,NA,NA,CF-HAB,within,"fam.length:NA;habituation.criterion:50;proportion.same.change:0.285714285714286;max.trial.duration:20000;nb.tokens.trial:1;visual.stim:checkerboard;size.in:55;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:first;CF.window.size:3;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:same-switch;CF.ntest:14;CF.testDetails:10 \""same\"" which contained repetitions of the habituation token mixed in with another token of the same type; and 4 oddballs/switch trials which contained the habituation token interspersed with a token of the untrained type; the first 2 trials were always 1 same 1 oddball with order counterbalanced across kids;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,0.95,NA,29,NA,NA,NA,NA,NA,NA,0.43,2.32,3.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,;,1.143026412,1.02247191,NA,360,0,NA,NA,NA,0.1461136749,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",NA,NA,2,2.904694476,NA
"Phan, J., & Houston, D. M. (2008).Infant Dialect Discrimination. RESEARCH ON SPOKEN LANGUAGE PROCESSING Progress Report No. 29",ac,31,NA,10,Phan,2008,RESEARCH ON SPOKEN LANGUAGE PROCESSING Progress Report,collection,NA,NA,exp3,English,standard,323.3646,345.267,mean,367.1694,12,NA,NA,NA,NA,31,no,native,pain-pa:n_,paIn-pa:n_,pine (Northern) vs. pawn ,1,0,2,0,0,0,0,"comments_F: F's to the right are averages over 2 tokens and represent values at one third and two thirds of the vowel; F1/F2/F3.1: pain 719-607/1617-2069; F1/F2/F3.2: pa:n 966-921/1438-1461; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: single talker produced words in both dialects; F's not reported, but the change in F2 within each vowel was: F2 movement was (410+494)/2 for the northern midland pain, and (45+45)/2 for the southern pa:n; voice: female; IDS: yes; naturalness: natural; ISI: NA; SOA: NA; ambient.noise: NA; snr: NA; differ.in: ",719,1617,966,1438,689,698.5,342.5,356,NA,NA,NA,CF-HAB,within,"fam.length:NA;habituation.criterion:50;proportion.same.change:0.285714285714286;max.trial.duration:20000;nb.tokens.trial:1;visual.stim:checkerboard;size.in:55;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:first;CF.window.size:3;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:same-switch;CF.ntest:14;CF.testDetails:10 \""same\"" which contained repetitions of the habituation token mixed in with another token of the same type; and 4 oddballs/switch trials which contained the habituation token interspersed with a token of the untrained type; the first 2 trials were always 1 same 1 oddball with order counterbalanced across kids;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,-0.89,NA,11,NA,NA,NA,NA,NA,NA,-0.5,2.18,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,;,1.827695866,1.039416058,NA,349.25,2,NA,NA,NA,-0.2312989387,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",NA,NA,2,2.087163146,NA
"Phan, J., & Houston, D. M. (2008).Infant Dialect Discrimination. RESEARCH ON SPOKEN LANGUAGE PROCESSING Progress Report No. 29",ac,32,NA,10,Phan,2008,RESEARCH ON SPOKEN LANGUAGE PROCESSING Progress Report,collection,NA,NA,exp3,English,standard,305.1126,330.057,mean,365.3442,20,NA,NA,NA,NA,32,no,native,p?n-pa:n_,pVn-pa:n_,AEnglish,1,1,0,0,0,0,0,"comments_F: F's to the right are averages over 2 tokens and represent values at one third and two thirds of the vowel; F1/F2/F3.1: pa:n 966-921/1438-1461; F1/F2/F3.2: p[inverted v]n 1011-989/1685-1797; min.f0: NA; average.f0: NA; max.f0: NA; range.f0: NA; pitch.contour: NA; other: single talker produced words in both dialects; F's not reported, but the change in F2 within each vowel was: F2 movement was (410+494)/2 for the northern midland pain, and (45+45)/2 for the southern pa:n; voice: female; IDS: yes; naturalness: natural; ISI: NA; SOA: NA; ambient.noise: NA; snr: NA; differ.in: ",966,1438,1011,1685,689,661,356,223,NA,NA,NA,CF-HAB,within,"fam.length:NA;habituation.criterion:50;proportion.same.change:0.285714285714286;max.trial.duration:20000;nb.tokens.trial:1;visual.stim:checkerboard;size.in:55;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:first;CF.window.size:3;CF.min.hab:NA;CF.max.hab:NA;CF.contrast:same-switch;CF.ntest:14;CF.testDetails:10 \""same\"" which contained repetitions of the habituation token mixed in with another token of the same type; and 4 oddballs/switch trials which contained the habituation token interspersed with a token of the untrained type; the first 2 trials were always 1 same 1 oddball with order counterbalanced across kids;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: NA,-0.15,NA,19,NA,NA,NA,NA,NA,NA,-0.06,2.8,3.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,;,1.082650006,1.596412556,NA,289.5,1,NA,NA,NA,-0.01884903983,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",NA,NA,2,3.11994391,NA
"Sato, Y., Sogabe, Y., & Mazuka, R. (2010). Discrimination of phonemic vowel length by Japanese infants. Developmental psychology, 46(1), 106?19. ",ac,33,10.1037/a0016718,11,Sato,2010,Developmental Psychology,article,NA,NA,exp1,Japanese,standard,121.68,131,mean,149.058,15,4.5,4,0,"fussiness, exp err",33,no,native,mana-ma:na,mana-ma:na,not_looked_up,0,0,0,0,0,0,1,"comments_F: NA; F1/F2/F3.1: NA; F1/F2/F3.2: NA; min.f0: NA; average.f0: 215.046; max.f0: NA; range.f0: NA; pitch.contour: bell; other: there were 18 tokens of ma:na, which were then artificially shortened to make the mana tokens by removing on average 106 ms of vowel; NOTICE that duration is for the 'ma' syllable, not just the vowel; pitch averages across the averages given for both syll; voice: female; IDS: yes; naturalness: natural_processed; ISI: 1103.954; SOA: 1500; ambient.noise: NA; snr: 60; differ.in: ",NA,NA,NA,NA,343.006,449.086,133.12,239.2,NA,NA,NA,CF-HAB,within,"fam.length:NA;habituation.criterion:35;proportion.same.change:0.5;max.trial.duration:15000;nb.tokens.trial:10;visual.stim:red & black checkerboard;size.in:19;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:first;CF.window.size:4;CF.min.hab:NA;CF.max.hab:29;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:1 same 1 oddball, with order counterbalanced across kids;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: 0.296,1.056,NA,14,NA,NA,NA,NA,NA,0.41366432,0.858,2.771,3.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,;CI of the difference reported; all same stats provided for pre vs posttest,NA,NA,0.5565217391,186.16,1,0.2307692308,NA,NA,0.2874780655,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",0.2844870447,12.35591786,2,2.903911328,NA
"Sato, Y., Sogabe, Y., & Mazuka, R. (2010). Discrimination of phonemic vowel length by Japanese infants. Developmental psychology, 46(1), 106?19. ",ac,34,10.1037/a0016718,11,Sato,2010,Developmental Psychology,article,NA,NA,exp1,Japanese,standard,121.68,131,mean,149.058,17,4.5,4,0,"fussiness, exp err",34,no,native,ma:na-mana,ma:na-mana,not_looked_up,0,0,0,0,0,0,1,"comments_F: NA; F1/F2/F3.1: NA; F1/F2/F3.2: NA; min.f0: NA; average.f0: 215.046; max.f0: NA; range.f0: NA; pitch.contour: bell; other: there were 18 tokens of ma:na, which were then artificially shortened to make the mana tokens by removing on average 106 ms of vowel; NOTICE that duration is for the 'ma' syllable, not just the vowel; pitch averages across the averages given for both syll; voice: female; IDS: yes; naturalness: natural_processed; ISI: 1103.954; SOA: 1500; ambient.noise: NA; snr: 60; differ.in: ",NA,NA,NA,NA,449.086,343.006,239.2,133.12,NA,NA,NA,CF-HAB,within,"fam.length:NA;habituation.criterion:35;proportion.same.change:0.5;max.trial.duration:15000;nb.tokens.trial:10;visual.stim:red & black checkerboard;size.in:19;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:first;CF.window.size:4;CF.min.hab:NA;CF.max.hab:29;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:1 same 1 oddball, with order counterbalanced across kids;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: 0.107,0.53,NA,16,NA,NA,NA,NA,NA,0.657596879,-0.346,3.102,3.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,;CI of the difference reported; all same stats provided for pre vs posttest,NA,NA,1.796875,186.16,1,0.2093023256,NA,NA,-0.1041396185,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",0.2014986166,24.62951515,2,3.243979346,NA
"Sato, Y., Sogabe, Y., & Mazuka, R. (2010). Discrimination of phonemic vowel length by Japanese infants. Developmental psychology, 46(1), 106?19. ",ac,35,10.1037/a0016718,11,Sato,2010,Developmental Psychology,article,NA,NA,exp2,Japanese,standard,288.99,309,mean,319.41,17,5,3,0,"fussiness, exp err",35,no,native,mana-ma:na,mana-ma:na,not_looked_up,0,0,0,0,0,0,1,"comments_F: NA; F1/F2/F3.1: NA; F1/F2/F3.2: NA; min.f0: NA; average.f0: 215.046; max.f0: NA; range.f0: NA; pitch.contour: bell; other: there were 18 tokens of ma:na, which were then artificially shortened to make the mana tokens by removing on average 106 ms of vowel; NOTICE that duration is for the 'ma' syllable, not just the vowel; pitch averages across the averages given for both syll; voice: female; IDS: yes; naturalness: natural_processed; ISI: 1103.954; SOA: 1500; ambient.noise: NA; snr: 60; differ.in: ",NA,NA,NA,NA,343.006,449.086,133.12,239.2,NA,NA,NA,CF-HAB,within,"fam.length:NA;habituation.criterion:35;proportion.same.change:0.5;max.trial.duration:15000;nb.tokens.trial:10;visual.stim:red & black checkerboard;size.in:19;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:first;CF.window.size:4;CF.min.hab:NA;CF.max.hab:29;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:1 same 1 oddball, with order counterbalanced across kids;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: 0.598,1.857,NA,16,NA,NA,NA,NA,NA,0.127906149,2.197,3.002,4.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,;CI of the difference reported; all same stats provided for pre vs posttest,NA,NA,0.5565217391,186.16,1,0.2272727273,NA,NA,0.5832937294,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",0.3355683054,8.880514555,2,3.677568014,NA
"Sato, Y., Sogabe, Y., & Mazuka, R. (2010). Discrimination of phonemic vowel length by Japanese infants. Developmental psychology, 46(1), 106?19. ",ac,36,10.1037/a0016718,11,Sato,2010,Developmental Psychology,article,NA,NA,exp2,Japanese,standard,288.99,309,mean,319.41,16,5,3,0,"fussiness, exp err",36,no,native,ma:na-mana,ma:na-mana,not_looked_up,0,0,0,0,0,0,1,"comments_F: NA; F1/F2/F3.1: NA; F1/F2/F3.2: NA; min.f0: NA; average.f0: 215.046; max.f0: NA; range.f0: NA; pitch.contour: bell; other: there were 18 tokens of ma:na, which were then artificially shortened to make the mana tokens by removing on average 106 ms of vowel; NOTICE that duration is for the 'ma' syllable, not just the vowel; pitch averages across the averages given for both syll; voice: female; IDS: yes; naturalness: natural_processed; ISI: 1103.954; SOA: 1500; ambient.noise: NA; snr: 60; differ.in: ",NA,NA,NA,NA,449.086,343.006,239.2,133.12,NA,NA,NA,CF-HAB,within,"fam.length:NA;habituation.criterion:35;proportion.same.change:0.5;max.trial.duration:15000;nb.tokens.trial:10;visual.stim:red & black checkerboard;size.in:19;dist.from.child.in:NA;side.degrees:NA;CF.longest.first:first;CF.window.size:4;CF.min.hab:NA;CF.max.hab:29;CF.contrast:same-switch;CF.ntest:2;CF.testDetails:1 same 1 oddball, with order counterbalanced across kids;CHT.responsetimeout:NA;CHT.criterion:NA;CHT.criterionByChance:NA;CHT.maximum.trials:NA;CHT.Max.nb.visits:NA;",proportion.infants.passed: NA; partial.eta.squared: NA; d: 0.583,1.794,NA,15,NA,NA,NA,NA,NA,0.157141234,1.749,2.99,3.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,;CI of the difference reported; all same stats provided for pre vs posttest,NA,NA,1.796875,186.16,1,0.2380952381,NA,NA,0.5674447358,"L&W formula below 3.16 for pooled SD, 3.14 for ES, 3.22 to unbias USING 2*N, 3.15 for SE, 3.16 for weight",0.3397346663,8.664036464,2,3.004534989,NA
